Dates Reporting Period,Region,No. of Ecs,Family Inside ECs,Family Home Based,No. of returned,Total Displaced
01-Jun-17,ARMM,3,727,23154,0,23881
01-Jun-17,Others,0,0,0,0,0
01-Jun-17,Region X,17,4810,2376,0,7186
02-Jul-17,ARMM,43,1210,37107,0,38317
02-Jul-17,Others,0,0,1767,0,1767
02-Jul-17,Region X,36,2588,31485,0,34073
01-Aug-17,ARMM,40,0,0,0,36135
01-Aug-17,Others,0,0,2661,0,2661
01-Aug-17,Region X,35,0,0,0,39670
02-Sep-17,ARMM,38,0,0,0,36135
02-Sep-17,Others,0,0,2620,0,2620
02-Sep-17,Region X,35,0,0,0,39670
06-Oct-17,ARMM,34,0,0,0,36135
06-Oct-17,Others,0,0,2661,0,2661
06-Oct-17,Region X,35,0,0,0,39670
01-Nov-17,ARMM,0,0,0,0,0
01-Nov-17,Others,0,0,0,0,0
01-Nov-17,Region X,0,0,0,0,0
01-Dec-17,ARMM,0,0,0,0,0
01-Dec-17,Others,0,0,0,0,0
01-Dec-17,Region X,0,0,0,0,0
07-Jan-18,ARMM,34,714,25964,13627,26678
07-Jan-18,Others,0,0,0,0,0
07-Jan-18,Region X,33,1689,35329,0,37018
01-Feb-18,Others,0,0,0,0,0
07-Feb-18,ARMM,34,1851,0,28219,1851
07-Feb-18,Region X,32,1222,0,0,1222
01-Mar-18,ARMM,0,0,0,0,0
01-Mar-18,Others,0,0,0,0,0
01-Mar-18,Region X,0,0,0,0,0
01-Apr-18,ARMM,0,0,0,0,0
01-Apr-18,Others,0,0,0,0,0
01-Apr-18,Region X,0,0,0,0,0
02-May-18,ARMM,27,726,17753,14742,18479
02-May-18,Others,0,0,4000,0,4000
02-May-18,Region X,14,394,21391,16176,21785
03-Jun-18,ARMM,22,1323,16559,51078,17882
03-Jun-18,Others,0,0,4000,0,4000
03-Jun-18,Region X,8,306,13808,16176,14114
08-Jul-18,ARMM,15,940,2114,31335,3054
08-Jul-18,Others,0,0,1857,2143,1857
08-Jul-18,Region X,8,234,8659,26251,8893
01-Aug-18,ARMM,15,940,2670,31335,3610
01-Aug-18,Others,0,0,1780,2220,1780
01-Aug-18,Region X,8,197,8746,30809,8943
02-Sep-18,ARMM,15,940,2670,31335,3610
02-Sep-18,Others,0,0,1780,2220,1780
02-Sep-18,Region X,7,195,8746,30809,8941
12-Oct-18,ARMM,15,940,2670,31327,3610
12-Oct-18,Others,0,0,958,2193,958
12-Oct-18,Region X,6,161,9531,30361,9692
01-Nov-18,ARMM,15,940,2670,31327,3610
01-Nov-18,Others,0,0,958,2193,958
01-Nov-18,Region X,6,139,9531,30361,9670
01-Dec-18,ARMM,15,940,2670,31327,3610
01-Dec-18,Others,0,0,958,2193,958
31-Dec-18,Region X,6,135,9531,30361,9666
