x,y,Dates Reporting Period,Reporting Period,Region,No. of Ecs,Family Inside ECs,Family Home Based,No. of returned,Total Displaced
124.308792,7.480787363,1-Jun-17,-Jun-17,ARMM,3,727,23154,0,23881
,,1-Jun-17,-Jun-17,Others,0,0,0,0,0
124.674192,8.187355169,1-Jun-17,-Jun-17,Region X,17,4810,2376,0,7186
124.308792,7.480787363,2-Jul-17,-Jul-17,ARMM,43,1210,37107,0,38317
,,2-Jul-17,-Jul-17,Others,0,0,1767,0,1767
124.674192,8.187355169,2-Jul-17,-Jul-17,Region X,36,2588,31485,0,34073
124.308792,7.480787363,1-Aug-17,-Aug-17,ARMM,40,0,0,0,36135
,,1-Aug-17,-Aug-17,Others,0,0,2661,0,2661
124.674192,8.187355169,1-Aug-17,-Aug-17,Region X,35,0,0,0,39670
124.308792,7.480787363,2-Sep-17,-Sep-17,ARMM,38,0,0,0,36135
,,2-Sep-17,-Sep-17,Others,0,0,2620,0,2620
124.674192,8.187355169,2-Sep-17,-Sep-17,Region X,35,0,0,0,39670
124.308792,7.480787363,6-Oct-17,-Oct-17,ARMM,34,0,0,0,36135
,,6-Oct-17,-Oct-17,Others,0,0,2661,0,2661
124.674192,8.187355169,6-Oct-17,-Oct-17,Region X,35,0,0,0,39670
124.308792,7.480787363,1-Nov-17,-Nov-17,ARMM,0,0,0,0,0
,,1-Nov-17,-Nov-17,Others,0,0,0,0,0
124.674192,8.187355169,1-Nov-17,-Nov-17,Region X,0,0,0,0,0
124.308792,7.480787363,1-Dec-17,-Dec-17,ARMM,0,0,0,0,0
,,1-Dec-17,-Dec-17,Others,0,0,0,0,0
124.674192,8.187355169,1-Dec-17,-Dec-17,Region X,0,0,0,0,0
124.308792,7.480787363,7-Jan-18,-Jan-18,ARMM,34,714,25964,13627,26678
,,7-Jan-18,-Jan-18,Others,0,0,0,0,0
124.674192,8.187355169,7-Jan-18,-Jan-18,Region X,33,1689,35329,0,37018
,,1-Feb-18,-Feb-18,Others,0,0,0,0,0
124.308792,7.480787363,7-Feb-18,-Feb-18,ARMM,34,1851,0,28219,1851
124.674192,8.187355169,7-Feb-18,-Feb-18,Region X,32,1222,0,0,1222
124.308792,7.480787363,1-Mar-18,-Mar-18,ARMM,0,0,0,0,0
,,1-Mar-18,-Mar-18,Others,0,0,0,0,0
124.674192,8.187355169,1-Mar-18,-Mar-18,Region X,0,0,0,0,0
124.308792,7.480787363,1-Apr-18,-Apr-18,ARMM,0,0,0,0,0
,,1-Apr-18,-Apr-18,Others,0,0,0,0,0
124.674192,8.187355169,1-Apr-18,-Apr-18,Region X,0,0,0,0,0
124.308792,7.480787363,2-May-18,-May-18,ARMM,27,726,17753,14742,18479
,,2-May-18,-May-18,Others,0,0,4000,0,4000
124.674192,8.187355169,2-May-18,-May-18,Region X,14,394,21391,16176,21785
124.308792,7.480787363,3-Jun-18,-Jun-18,ARMM,22,1323,16559,51078,17882
,,3-Jun-18,-Jun-18,Others,0,0,4000,0,4000
124.674192,8.187355169,3-Jun-18,-Jun-18,Region X,8,306,13808,16176,14114
124.308792,7.480787363,8-Jul-18,-Jul-18,ARMM,15,940,2114,31335,3054
,,8-Jul-18,-Jul-18,Others,0,0,1857,2143,1857
124.674192,8.187355169,8-Jul-18,-Jul-18,Region X,8,234,8659,26251,8893
124.308792,7.480787363,1-Aug-18,-Aug-18,ARMM,15,940,2670,31335,3610
,,1-Aug-18,-Aug-18,Others,0,0,1780,2220,1780
124.674192,8.187355169,1-Aug-18,-Aug-18,Region X,8,197,8746,30809,8943
124.308792,7.480787363,2-Sep-18,-Sep-18,ARMM,15,940,2670,31335,3610
,,2-Sep-18,-Sep-18,Others,0,0,1780,2220,1780
124.674192,8.187355169,2-Sep-18,-Sep-18,Region X,7,195,8746,30809,8941
124.308792,7.480787363,12-Oct-18,-Oct-18,ARMM,15,940,2670,31327,3610
,,12-Oct-18,-Oct-18,Others,0,0,958,2193,958
124.674192,8.187355169,12-Oct-18,-Oct-18,Region X,6,161,9531,30361,9692
124.308792,7.480787363,1-Nov-18,-Nov-18,ARMM,15,940,2670,31327,3610
,,1-Nov-18,-Nov-18,Others,0,0,958,2193,958
124.674192,8.187355169,1-Nov-18,-Nov-18,Region X,6,139,9531,30361,9670
124.308792,7.480787363,1-Dec-18,-Dec-18,ARMM,15,940,2670,31327,3610
,,1-Dec-18,-Dec-18,Others,0,0,958,2193,958
124.674192,8.187355169,1-Dec-18,-Dec-18,Region X,6,135,9531,30361,9666
